1;DETAILS ENTERED;at_studio:1;day:0;hour:0
1;PHOTOGRAPHER CHECKED IN;at_studio:1;day:0;hour:0
1;PHOTOS UPLOADED;at_studio:1;day:0;hour:0
1;CUSTOMER NOTIFIED OF GALLERY;at_studio:1;day:0;hour:0
1;ORDER PLACED;at_studio:1;day:0;hour:0
1;PHOTOS UPLOADED TO DROPBOX;at_studio:1;day:0;hour:0
1;INVOICE ISSUED;at_studio:1;day:0;hour:0
1;ORDER UPDATED;at_studio:1;day:0;hour:0
1;EMAIL LINK TO PHOTOS SENT;at_studio:1;day:0;hour:0
1;ORDER CLOSED;at_studio:1;day:0;hour:0
2;DETAILS ENTERED;at_studio:1;day:0;hour:0
2;PHOTOGRAPHER CHECKED IN;at_studio:1;day:0;hour:0
2;PHOTOS UPLOADED;at_studio:1;day:0;hour:0
2;CUSTOMER NOTIFIED OF GALLERY;at_studio:1;day:0;hour:0
2;ORDER PLACED;at_studio:1;day:0;hour:0
2;PHOTOS EDITED;at_studio:1;day:0;hour:0
2;PHOTOS UPLOADED TO DROPBOX;at_studio:1;day:0;hour:0
2;INVOICE ISSUED;at_studio:1;day:0;hour:0
2;ORDER UPDATED;at_studio:1;day:0;hour:0
2;EMAIL LINK TO PHOTOS SENT;at_studio:1;day:0;hour:0
2;ORDER CLOSED;at_studio:1;day:0;hour:0
3;DETAILS ENTERED;at_studio:1;day:0;hour:1
3;PHOTOGRAPHER CHECKED IN;at_studio:1;day:0;hour:1
3;PHOTOS UPLOADED;at_studio:1;day:0;hour:1
3;CUSTOMER NOTIFIED OF GALLERY;at_studio:1;day:0;hour:1
3;ORDER PLACED;at_studio:1;day:0;hour:1
3;CUSTOMER ASKED FOR INFORMATION;at_studio:1;day:0;hour:1
3;PHOTOS EDITED;at_studio:1;day:0;hour:1
3;PHOTOS UPLOADED TO DROPBOX;at_studio:1;day:0;hour:1
3;INVOICE ISSUED;at_studio:1;day:0;hour:1
3;ORDER UPDATED;at_studio:1;day:0;hour:1
3;EMAIL LINK TO PHOTOS SENT;at_studio:1;day:0;hour:1
3;ORDER CLOSED;at_studio:1;day:0;hour:1
4;DETAILS ENTERED;at_studio:0;day:0;hour:0
4;PHOTOGRAPHER CHECKED IN;at_studio:0;day:0;hour:0
4;PHOTOS UPLOADED;at_studio:0;day:0;hour:0
4;CUSTOMER NOTIFIED OF GALLERY;at_studio:0;day:0;hour:0
4;CUSTOMER REMINDED OF GALLERY;at_studio:0;day:0;hour:0
4;INVOICE ISSUED;at_studio:0;day:0;hour:0
4;ORDER UPDATED;at_studio:0;day:0;hour:0
4;FEE RECEIVED;at_studio:0;day:0;hour:0
4;ORDER CLOSED;at_studio:0;day:0;hour:0
